code;description;description_additional
8022/6;Carcinoma pleomorfo, metástasis;
8030/3;Carcinoma de células gigantes y fusiformes;
8030/6;Carcinoma de células gigantes y fusiformes, metástasis;
8031/3;Carcinoma de células gigantes;
8031/6;Carcinoma de células gigantes, metástasis;
8032/3;Carcinoma de células fusiformes, SAI;
8032/6;Carcinoma de células fusiformes, SAI, metástasis;
8033/3;Carcinoma seudosarcomatoso;Carcinoma sarcomatoide
8033/6;Carcinoma seudosarcomatoso, metástasis;
8034/3;Carcinoma de células poligonales;
8034/6;Carcinoma de células poligonales, metástasis;
8035/3;Carcinoma con células gigantes tipo osteoclasto;
8035/6;Carcinoma con células gigantes tipo osteoclasto, metástasis;
8040/0;Tumorlet, benigno;
8040/1;Tumorlet, SAI;
8041/3;Carcinoma de células pequeñas, SAI;Carcinoma de células de reserva Carcinoma de células redondas Carcinoma neuroendocrino de células pequeñas
8041/6;Carcinoma de células pequeñas, SAI, metástasis;
8042/3;Carcinoma de células en grano de avena;
8042/6;Carcinoma de células en grano de avena, metástasis;
8043/3;Carcinoma de células pequeñas, tipo fusiforme;
8043/6;Carcinoma de células pequeñas, tipo fusiforme, metástasis;
8044/3;Carcinoma de células pequeñas, tipo intermedio;
8044/6;Carcinoma de células pequeñas, tipo intermedio, metástasis;
8045/3;Carcinoma combinado de células pequeñas;Carcinoma mixto de células pequeñas Adenocarcinoma combinado de células pequeñas Carcinoma combinado de células pequeñas y células escamosas Carcinoma combinado de células pequeñas y células grandes
8045/6;Carcinoma combinado de células pequeñas, metástasis;
8046/3;Carcinoma, no de células pequeñas;
8046/6;Carcinoma, no de células pequeñas, metástasis;
8050/0;Papiloma, SAI;(excepto papiloma de la vejiga,
8050/2;Carcinoma papilar in situ;
8050/3;Carcinoma papilar, SAI;
8050/6;Carcinoma papilar, SAI, metástasis;
8051/0;Papiloma verrugoso;
8051/3;Carcinoma verrugoso, SAI;Carcinoma condilomatoso Carcinoma epidermoide verrugoso Carcinoma verrugoso Carcinoma verrugoso de células escamosas
8051/6;Carcinoma verrugoso, SAI, metástasis;
8052/0;Papiloma epidermoide, SAI;Papiloma escamoso Papiloma queratósico
8052/2;Carcinoma papilar epidermoide no invasivo;Carcinoma papilar de células escamosas in situ
8052/3;Carcinoma papilar de células escamosas;Carcinoma epidermoide papilar
8052/6;Carcinoma papilar de células escamosas, metástasis;
8053/0;Papiloma de células escamosas invertido;
8060/0;Papilomatosis escamosa;Papilomatosis, SAI
8070/2;Carcinoma epidermoide in situ, SAI;Carcinoma epidermoide in situ, SAI Carcinoma intraepidérmico, SAI Carcinoma intraepitelial de células escamosas
8070/3;Carcinoma epidermoide, SAI;Carcinoma epidermoide, SAI Carcinoma escamoso Epitelioma de células escamosas
8070/6;Carcinoma metastásico de células escamosas, SAI;
8071/3;Carcinoma epidermoide, tipo queratinizante, SAI;Carcinoma de células escamosas, células grandes, queratinizante Carcinoma epidermoide, queratinizante
8071/6;Carcinoma epidermoide, tipo queratinizante, SAI, metástasis;
8072/3;Carcinoma epidermoide de células grandes, tipo no queratinizante, SAI;Carcinoma de células escamosas, no queratinizante, SAI Carcinoma epidermoide, células grandes, no queratinizante
8072/6;Carcinoma epidermoide de células grandes, tipo no queratinizante, SAI, metástasis;
8073/3;Carcinoma epidermoide de células pequeñas, tipo no queratinizante;Carcinoma epidermoide, células pequeñas, no queratinizante
8073/6;Carcinoma epidermoide de células pequeñas, tipo no queratinizante, metástasis;
8074/3;Carcinoma epidermoide de células fusiformes;Carcinoma epidermoide, células fusiformes Carcinoma de células escamosas, sarcomatoide
8074/6;Carcinoma epidermoide de células fusiformes, metástasis;
8075/3;Carcinoma epidermoide seudoglandular ;Carcinoma de células escamosas, acantolítico Carcinoma de células escamosas, seudoglandular
8075/6;Carcinoma epidermoide seudoglandular , metástasis;
8076/2;Carcinoma epidermoide in situ con invasión dudosa del estroma;Carcinoma epidermoide in situ, con invasión dudosa del estroma
8076/3;Carcinoma epidermoide microinvasor;
8076/6;Carcinoma epidermoide microinvasor, metástasis;
8077/0;Neoplasia intraepitelial de células escamosas de bajo grado;
8077/2;Neoplasia intraepitelial de células escamosas de alto grado;(ver código en página 28) Neoplasia intraepitelial anal, grado III (C21.1) NIA III (C21.1) (AIN III) Neoplasia intraepitelial cervical, grado III (C53._) NIC III, SAI (C53._) (CIN III) NIC III con displasia aguda (C53._) Neoplasia intraepitelial vaginal, grado III (C52._) NIVA III (C52._) (VAIN III) Neoplasia intraepitelial vulvar, grado III (C51._) NIV III (C51._) (VIN III)
8078/3;Carcinoma epidermoide con formación cuerno;
8078/6;Carcinoma epidermoide con formación cuerno, metástasis;
8080/2;Eritroplasia de Queyrat;
8081/2;Enfermedad de Bowen;Carcinoma intraepidérmico de células escamosas, tipo Bowen (C44._)
8082/3;Carcinoma linfoepitelial;Carcinoma semejante a linfoepitelioma Linfoepitelioma Tumor de Schmincke (C11._)
8082/6;Carcinoma linfoepitelial, metástasis;
8083/3;Carcinoma basaloide de células escamosas;
8083/6;Carcinoma basaloide de células escamosas, metástasis;
8084/3;Carcinoma de células escamosas, tipo células claras;
8084/6;Carcinoma de células escamosas, tipo células claras, metástasis;
8090/1;Tumor basocelular;
8090/3;Carcinoma basocelular, SAI;Epitelioma de células basales (C44._) Ulcus rodens (C44._) Carcinoma de células basales pigmentadas (C44._)
8090/6;Carcinoma basocelular, SAI, metástasis;
8091/3;Carcinoma basocelular superficial multifocal;Carcinoma multicéntrico de células basales (C44._)
8091/6;Carcinoma basocelular superficial multifocal, metástasis;
8092/3;Carcinoma basocelular infiltrante, SAI;Carcinoma infiltrante de células basales, esclerosante (C44._) Carcinoma de células basales, morfea (C44._) Carcinoma de células basales, tipo desmoplásico (C44._) Carcinoma infiltrante de células basales, no esclerosante (C44._)
8092/6;Carcinoma basocelular infiltrante, SAI, metástasis;
8093/3;Carcinoma basocelular, tipo fibroepitelial;Carcinoma de células basales fibroepitelial, tipo Pinkus Fibroepitelioma, SAI Fibroepitelioma de tipo Pinkus Tumor de Pinkus
8093/6;Carcinoma basocelular, tipo fibroepitelial, metástasis;
8094/3;Carcinoma de células basales y escamosas;Carcinoma mixto de células basalesescamosas (C44._)
8094/6;Carcinoma de células basales y escamosas, metástasis;
8095/3;Carcinoma metatípico;
8095/6;Carcinoma metatípico, metástasis;
8096/0;Epitelioma intraepidérmico de Jadassohn;
8097/3;Carcinoma basocelular, tipo nodular;Carcinoma de células basales, micronodular (C44._)
8097/6;Carcinoma basocelular, tipo nodular, metástasis;
8098/3;Carcinoma basal adenoideo;
8098/6;Carcinoma basal adenoideo, metástasis;
8100/0;Tricoepitelioma;Epitelioma adenoides quístico (C44._) Tumor de Brooke (C44._)
8101/0;Tricofoliculoma;
8102/0;Tricolemoma;
8102/3;Triquilemocarcinoma;Carcinoma tricolemal (C44._)
8102/6;Triquilemocarcinoma, metástasis;
8103/0;Tumor proliferante de triquilema;Quiste triquilemal proliferante Tumor triquilemal proliferante
8110/0;Pilomatrixoma, SAI;Epitelioma calcificante de Malherbe (C44._) Pilomatricoma, SAI (C44._)
8110/3;Carcinoma pilomatricial;Carcinoma matricial (C44._) Pilomatricoma, maligno (C44._) Pilomatrixoma, maligno (C44._)
8110/6;Carcinoma pilomatricial, metástasis;
8120/0;Papiloma de células transicionales, benigno;Papiloma transicional
8120/1;Papiloma urotelial, SAI;Papiloma de células transicionales, SAI Papiloma de la vejiga (C67._)
8120/2;Carcinoma in situ de células transicionales;Carcinoma urotelial in situ
8120/3;Carcinoma de células transicionales, SAI;Carcinoma urotelial, SAI Carcinoma transicional
8120/6;Carcinoma de células transicionales, SAI, metástasis;
8121/0;Papiloma de Schneider, SAI;Papiloma sinonasal, SAI (C30.0, C31._) Papiloma de células transicionales, invertido, benigno Papiloma transicional, invertido, benigno Papiloma sinonasal, exofítico (C30.0, C31._) Papiloma sinonasal, fungiforme (C30.0, C31._)
8121/1;Papiloma de células transicionales, tipo invertido, SAI;Papiloma transicional, invertido, SAI Papiloma de células cilíndricas (C30.0, C31._) Papiloma de células columnares Papiloma de Schneider, invertido (C30.0, C31._) Papiloma de Schneider oncocítico (C30.0, C31._)
8121/3;Carcinoma de Schneider;Carcinoma de células cilíndricas (C30.0, C31._)
8121/6;Carcinoma de Schneider, metástasis;
8122/3;Carcinoma de células transicionales, tipo fusocelular;Carcinoma de células transicionales, sarcomatoide
8122/6;Carcinoma de células transicionales, tipo fusocelular, metástasis;
8123/3;Carcinoma basaloide;
8123/6;Carcinoma basaloide, metástasis;
8124/3;Carcinoma cloacogénico;
8124/6;Carcinoma cloacogénico, metástasis;
8130/1;Neoplasia papilar de células transicionales de bajo potencial maligno;Neoplasia urotelial papilar de bajo potencial maligno (C67._)
8130/2;Carcinoma papilar de células transicionales, tipo no invasivo ;Carcinoma papilar urotelial, no invasivo (C67._)
8130/3;Carcinoma papilar de células transicionales;Carcinoma papilar urotelial (C67._)
8130/6;Carcinoma papilar de células transicionales, metástasis;
8131/3;Carcinoma de células transicionales, micropapilar;
8131/6;Carcinoma de células transicionales, micropapilar, metástasis;
8140/0;Adenoma, SAI;
8140/1;Adenoma atípico;Adenoma bronquial, SAI (C34._)
8140/2;Adenocarcinoma in situ, SAI;
8140/3;Adenocarcinoma, SAI;
8140/6;Adenocarcinoma metastásico, SAI;
8141/3;Adenocarcinoma escirro;Carcinoma con fibrosis productiva Carcinoma escirroso 
8141/6;Adenocarcinoma escirro, metástasis;
8142/3;Linitis plástica;
8142/6;Linitis plástica, metástasis;
8143/3;Adenocarcinoma con diseminación superficial;
8143/6;Adenocarcinoma con diseminación superficial, metástasis;
8144/3;Adenocarcinoma, tipo intestinal;Carcinoma, tipo intestinal (C16._)
8144/6;Adenocarcinoma, tipo intestinal, metástasis;
8145/3;Carcinoma, tipo difuso;Adenocarcinoma, tipo difuso (C16._)
8145/6;Carcinoma, tipo difuso, metástasis;
8146/0;Adenoma monomórfico;
8147/0;Adenoma basocelular;
8147/3;Adenocarcinoma basocelular;
8147/6;Adenocarcinoma basocelular, metástasis;
8148/0;Neoplasia intraepitelial glandular de bajo grado;
8148/2;Neoplasia intraepitelial glandular de alto grado;Neoplasia intraepitelial prostática, grado III (C61.9) NIP III (C61.9) (PIN III)
8149/0;Adenoma canalicular;
8150/0;Tumor endocrino pancreático benigno;Nesidioblastoma (C25._) Tumor de células de los islotes [de Langerhans], benigno (C25._) Adenomatosis de células de los islotes [de Langerhans] (C25._)
8150/1;Tumor endocrino pancreático, SAI;
8150/3;Tumor endocrino pancreático maligno;Adenocarcinoma de células de los islotes [de Langerhans] (C25._)
8150/6;Tumor endocrino pancreático maligno, metástasis;
8151/0;Insulinoma, SAI;Adenoma de células beta (C25._)
8151/3;Insulinoma maligno;Tumor de células beta, maligno (C25._)
8151/6;Insulinoma maligno, metástasis;
8152/1;Glucagonoma, SAI;Tumor de células alfa, SAI (C25._)
8152/3;Glucagonoma maligno;Tumor de células alfa, maligno (C25._)
8152/6;Glucagonoma maligno, metástasis;
8153/1;Gastrinoma, SAI;Tumor de células G, SAI Tumor de células gastrinas
8153/3;Gastrinoma maligno;Tumor de células G, maligno Tumor de células gastrinas, maligno
8153/6;Gastrinoma maligno, metástasis;
8154/3;Tumor maligno pancreático mixto de células de los islotes de Langerhans y exocrino;Carcinoma mixto acinar-endocrino (C25._) Carcinoma mixto ductal-endocrino (C25._)
8154/6;Tumor maligno pancreático mixto de células de los islotes de Langerhans y exocrino, metástasis;
8155/1;Vipoma, SAI;
8155/3;Vipoma maligno;
8155/6;Vipoma maligno, metástasis;
8156/1;Somatostatinoma, SAI;Tumor de células somatostatinas, SAI
8156/3;Somatostatinoma maligno;Tumor de células somatostatinas, maligno
8156/6;Somatostatinoma maligno, metástasis;
8158/1;Tumor endocrino funcionante, SAI;
8160/0;Adenoma de los conductos biliares;Colangioma (C22.1, C24.0)
8160/3;Colangiocarcinoma;Adenocarcinoma de los conductos biliares (C22.1, C24.0) Carcinoma de los conductos biliares (C22.1, C24.0)
8160/6;Colangiocarcinoma, metástasis;
8161/0;Cistadenoma de los conductos biliares;
8161/3;Cistadenocarcinoma de los conductos biliares;
8161/6;Cistadenocarcinoma de los conductos biliares, metástasis;
8162/3;Tumor de Klatskin;
8162/6;Tumor de Klatskin, metástasis;
8163/0;Neoplasia pancreatobiliar, no invasiva;
8163/2;Neoplasia papilar de tipo pancreatobiliar, con neoplasia intraepitelial de alto grado;
8163/3;Carcinoma de tipo pancreatobiliar;
8163/6;Carcinoma de tipo pancreatobiliar, metástasis;
8170/0;Adenoma de células hepáticas;Adenoma hepatocelular (C22.0) Hepatoma, benigno (C22.0)
8170/3;Carcinoma hepatocelular, SAI;Carcinoma de células hepáticas (C22.0) Hepatocarcinoma (C22.0) Hepatoma, maligno (C22.0) Hepatoma, SAI (C22.0)
8170/6;Carcinoma hepatocelular, SAI, metástasis;
8171/3;Carcinoma hepatocelular, tipo fibrolamelar;
8171/6;Carcinoma hepatocelular, tipo fibrolamelar, metástasis;
8172/3;Carcinoma hepatocelular escirro;Carcinoma hepático esclerosante (C22.0)
8172/6;Carcinoma hepatocelular escirro, metástasis;
8173/3;Carcinoma hepatocelular, variante fusocelular;Carcinoma hepatocelular, sarcomatoide (C22.0)
8173/6;Carcinoma hepatocelular, variante fusocelular, metástasis;
8174/3;Carcinoma hepatocelular, variante de células claras;
8174/6;Carcinoma hepatocelular, variante de células claras, metástasis;
8175/3;Carcinoma hepatocelular, tipo pleomorfo;
8175/6;Carcinoma hepatocelular, tipo pleomorfo, metástasis;
8180/3;Carcinoma hepatocelular y colangiocarcinoma mixto;Carcinoma mixto hepatocelular y de los conductos biliares (C22.0) Hepatocolangiocarcinoma (C22.0)
8180/6;Carcinoma hepatocelular y colangiocarcinoma mixto, metástasis;
8190/0;Adenoma trabecular;
8190/3;Adenocarcinoma trabecular;Carcinoma trabecular
8190/6;Adenocarcinoma trabecular, metástasis;
8191/0;Adenoma embrionario;
8200/0;Cilindroma ecrino dérmico;Cilindroma de la piel (C44._) Tumor en turbante (C44._)
8200/3;Carcinoma adenoide quístico;Adenocarcinoma, cilindroide Carcinoma adenoquístico Cilindroma, SAI (excepto cilindroma de la piel M-8200/0) Adenoma bronquial, cilindroide (C34._) [obs]
8200/6;Carcinoma adenoide quístico, metástasis;
8201/2;Carcinoma cribiforme in situ;Carcinoma ductal in situ, tipo cribiforme (C50._)
8201/3;Carcinoma cribiforme, SAI;Carcinoma ductal, tipo cribiforme (C50._)
8201/6;Carcinoma cribiforme, SAI, metástasis;
8202/0;Adenoma microquístico;
8204/0;Adenoma de la lactancia;
8210/0;Pólipo adenomatoso, SAI;Adenoma polipoide
8210/2;Adenocarcinoma in situ en pólipo adenomatoso;Adenocarcinoma in situ en adenoma polipoide Adenocarcinoma in situ en adenoma tubular Adenocarcinoma in situ en un pólipo, SAI Carcinoma in situ en pólipo adenomatoso Carcinoma in situ en un pólipo, SAI
8210/3;Adenocarcinoma en pólipo adenomatoso;Adenocarcinoma en adenoma polipoide Adenocarcinoma en adenoma tubular Adenocarcinoma en un pólipo, SAI Carcinoma en pólipo adenomatoso Carcinoma en un pólipo, SAI
8210/6;Adenocarcinoma en pólipo adenomatoso, metástasis;
8211/0;Adenoma tubular, SAI;
8211/3;Adenocarcinoma tubular;Carcinoma tubular
8211/6;Adenocarcinoma tubular, metástasis;
8212/0;Adenoma plano;
8213/0;Adenoma dentado;Pólipo mixto adenomatoso e hiperplásico (C18._)
8213/3;Adenocarcinoma dentado;
8213/6;Adenocarcinoma dentado, metástasis;
8214/3;Carcinoma de células parietales;Adenocarcinoma de células parietales (C16._)
8214/6;Carcinoma de células parietales, metástasis;
8215/3;Adenocarcinoma de glándulas anales;Adenocarcinoma de los conductos anales (C21.1)
8215/6;Adenocarcinoma de glándulas anales, metástasis;
8220/0;Poliposis adenomatosa del colon;Poliposis familiar del colon (C18._) Adenomatosis, SAI
8220/3;Adenocarcinoma en poliposis adenomatosa del colon;
8220/6;Adenocarcinoma en poliposis adenomatosa del colon, metástasis;
8221/0;Pólipos adenomatosos múltiples ;
8221/3;Adenocarcinoma en pólipos adenomatosos múltiples;
8221/6;Adenocarcinoma en pólipos adenomatosos múltiples, metástasis;
8230/2;Carcinoma ductal in situ, tipo sólido;Carcinoma intraductal, tipo sólido
8230/3;Carcinoma sólido, SAI;Carcinoma sólido con formación de mucina Adenocarcinoma sólido con formación de mucina
8230/6;Carcinoma sólido, SAI, metástasis;
8231/3;Carcinoma simple;
8231/6;Carcinoma simple, metástasis;
8240/1;Tumor carcinoide de potencial maligno incierto;Tumor carcinoide, argentafín, SAI Argentafinoma, SAI [obs] Tumor carcinoide, SAI, del apéndice (C18.1) Carcinoide, SAI, del apéndice (C18.1)
8240/3;Tumor carcinoide, SAI;(excepto del apéndice, M-8240/1) Carcinoide, SAI (excepto del apéndice, M-8240/1) Carcinoide típico Adenoma bronquial, carcinoide (C34._)
8240/6;Tumor carcinoide, SAI, metástasis;
8241/3;Carcinoide de células enterocromafines;Argentafinoma, maligno [obs] Carcinoide de células EC Carcinoide productor de serotonina Tumor carcinoide, argentafín, maligno
8241/6;Carcinoide de células enterocromafines, metástasis;
8242/1;Carcinoide de células similares a enterocromafines;Carcinoide de células semejantes a ECL, SAI
8242/3;Carcinoide de células similares a enterocromafines, maligno;Carcinoide de células semejantes a ECL, maligno
8242/6;Carcinoide de células similares a enterocromafines, maligno, metástasis;
8243/3;Carcinoide de células caliciformes;Carcinoide mucinoso Tumor mucocarcinoide
8243/6;Carcinoide de células caliciformes, metástasis;
8244/3;Carcinoma adenoneuroendocrino mixto;Carcinoide-adenocarcinoma mixto Carcinoide y adenocarcinoma combinados
8244/6;Carcinoma adenoneuroendocrino mixto, metástasis;
8245/1;Carcinoide tubular;
8245/3;Tumor adenocarcinoide;
8245/6;Tumor adenocarcinoide, metástasis;
8246/3;Carcinoma neuroendocrino, SAI;
8246/6;Carcinoma neuroendocrino, SAI, metástasis;
8247/3;Carcinoma de células de Merkel;Carcinoma neuroendocrino cutáneo primario (C44._) Tumor de células de Merkel (C44._)
8247/6;Carcinoma de células de Merkel, metástasis;
8248/1;Apudoma;
8249/3;Tumor carcinoide atípico;
8249/6;Tumor carcinoide atípico, metástasis;
8250/1;Adenomatosis pulmonar;
8250/3;Adenocarcinoma bronquiolo-alveolar, SAI;Adenocarcinoma bronquiolar (C34._) Carcinoma bronquiolar (C34._) Carcinoma de células alveolares (C34._) Carcinoma bronquioloalveolar, SAI (C.34._)
8250/6;Adenocarcinoma bronquiolo-alveolar, SAI, metástasis;
8251/0;Adenoma alveolar;
8251/3;Adenocarcinoma alveolar;Carcinoma alveolar
8251/6;Adenocarcinoma alveolar, metástasis;
8252/3;Carcinoma bronquiolo-alveolar, no mucinoso;Carcinoma bronquioloalveolar, células Clara (C34._) Carcinoma bronquioloalveolar, tipo II neumocítico (C34._)
8252/6;Carcinoma bronquiolo-alveolar, no mucinoso, metástasis;
8253/3;Carcinoma bronquiolo-alveolar, mucinoso;Carcinoma bronquioloalveolar, tipo células caliciformes (C34._)
8253/6;Carcinoma bronquiolo-alveolar, mucinoso, metástasis;
8254/3;Carcinoma bronquiolo-alveolar mixto, mucinoso y no mucinoso;Carcinoma bronquioloalveolar, tipo células Clara y células caliciformes (C34._) Carcinoma bronquioloalveolar, tipo II neumocítico y tipo células caliciformes (C34._) Carcinoma bronquioloalveolar, tipo indeterminado (C34._) 
8254/6;Carcinoma bronquiolo-alveolar mixto, mucinoso y no mucinoso, metástasis;
8255/3;Adenocarcinoma combinado con subtipos mixtos;Adenocarcinoma combinado con otros tipos de carcinoma
8255/6;Adenocarcinoma combinado con subtipos mixtos, metástasis;
8260/0;Adenoma papilar, SAI;Papiloma glandular
8260/3;Adenocarcinoma papilar, SAI;Carcinoma papilar de células renales (C64.9) Carcinoma papilar de la tiroides (C73.9)
8260/6;Adenocarcinoma papilar, SAI, metástasis;
8261/0;Adenoma velloso, SAI;Papiloma velloso
8261/2;Adenocarcinoma in situ en adenoma velloso;
8261/3;Adenocarcinoma en adenoma velloso;
8261/6;Adenocarcinoma en adenoma velloso, metástasis;
8262/3;Adenocarcinoma velloso;
8262/6;Adenocarcinoma velloso, metástasis;
8263/0;Adenoma tubulovelloso, SAI;Adenoma velloglandular Adenoma papilotubular
8263/2;Adenocarcinoma in situ en adenoma tubulovelloso;
8263/3;Adenocarcinoma en adenoma tubulovelloso;Adenocarcinoma papilotubular Adenocarcinoma tubulopapilar
8263/6;Adenocarcinoma en adenoma tubulovelloso, metástasis;
8264/0;Papilomatosis glandular;Papilomatosis biliar (C22.1, C24.0)
8265/3;Carcinoma micropapilar, SAI;
8265/6;Carcinoma micropapilar, SAI, metástasis;
8270/0;Adenoma cromófobo;
8270/3;Carcinoma cromófobo;Adenocarcinoma cromófobo (C75.1)
8270/6;Carcinoma cromófobo, metástasis;
8271/0;Prolactinoma;
8272/0;Adenoma hipofisario, SAI;
8272/3;Carcinoma hipofisario, SAI;
8272/6;Carcinoma hipofisario, SAI, metástasis;
8280/0;Adenoma acidófilo;Adenoma eosinofílico (C75.1)
8280/3;Carcinoma acidófilo;Adenocarcinoma acidófilo (C75.1) Adenocarcinoma eosinofílico (C75.1) Carcinoma eosinofílico (C75.1)
8280/6;Carcinoma acidófilo, metástasis;
8281/0;Adenoma mixto, acidófilo y basófilo;
8281/3;Carcinoma mixto, acidófilo y basófilo;
8281/6;Carcinoma mixto, acidófilo y basófilo, metástasis;
8290/0;Adenoma oxífilo;Adenoma oncocítico Oncocitoma Adenoma de células de Hurthle (C73.9) Adenoma folicular, células oxifílicas (C73.9) Tumor de células de Hurthle (C73.9)
8290/3;Adenocarcinoma oxífilo;Adenocarcinoma oncocítico Carcinoma oncocítico Adenocarcinoma de células de Hurthle (C73.9) Carcinoma de células de Hurthle (C73.9) Carcinoma folicular, células oxifílicas (C73.9)
8290/6;Adenocarcinoma oxífilo, metástasis;
8300/0;Adenoma basófilo;Adenoma de células mucoides (C75.1)
8300/3;Carcinoma basófilo;Adenocarcinoma basófilo (C75.1) Adenocarcinoma de células mucoides (C75.1)
8300/6;Carcinoma basófilo, metástasis;
8310/0;Adenoma de células claras;
8310/3;Adenocarcinoma de células claras, SAI;Carcinoma de células claras Adenocarcinoma de células claras, mesonefroide
8310/6;Adenocarcinoma de células claras, SAI, metástasis;
8311/1;Tumor hipernefroide;
8312/3;Carcinoma de células renales, SAI;Adenocarcinoma de células renales (C64.9) Hipernefroma (C64.9) [obs] Tumor de Grawitz (C64.9) [obs]
8312/6;Carcinoma de células renales, SAI, metástasis;
8313/0;Adenofibroma de células claras ;Cistadenofibroma de células claras (C56.9)
8313/1;Adenofibroma de células claras de malignidad borderline;Cistadenofibroma de células claras de malignidad limítrofe (borderline) (C56.9)
8313/3;Adenocarcinofibroma de células claras;Cistadenocarcinofibroma de células claras (C56.9)
8313/6;Adenocarcinofibroma de células claras, metástasis;
8314/3;Carcinoma rico en lípidos;
8314/6;Carcinoma rico en lípidos, metástasis;
8315/3;Carcinoma rico en glucógeno;
8315/6;Carcinoma rico en glucógeno, metástasis;
8316/3;Carcinoma de células renales asociado a quiste;
8316/6;Carcinoma de células renales asociado a quiste, metástasis;
8317/3;Carcinoma de células renales tipo cromófobo;Carcinoma cromófobo de células renales (C64.9)
8317/6;Carcinoma de células renales tipo cromófobo, metástasis;
8318/3;Carcinoma de células renales sarcomatoide;Carcinoma de células renales, células fusiformes (C64.9)
8318/6;Carcinoma de células renales sarcomatoide, metástasis;
8319/3;Carcinoma de túbulos colectores;Carcinoma del conducto de Bellini (C64.9) Carcinoma renal, tipo conducto colector (C64.9)
8319/6;Carcinoma de túbulos colectores, metástasis;
8320/3;Carcinoma de células granulares;Adenocarcinoma de células granulares
8320/6;Carcinoma de células granulares, metástasis;
8321/0;Adenoma de células principales;
8322/0;Adenoma de células claroacuosas;
8322/3;Adenocarcinoma de células claroacuosas;Carcinoma de células claroacuosas (C75.0)
8322/6;Adenocarcinoma de células claroacuosas, metástasis;
8323/0;Adenoma de células mixtas;
8323/3;Adenocarcinoma de células mixtas;
8323/6;Adenocarcinoma de células mixtas, metástasis;
8324/0;Lipoadenoma;Adenolipoma
8325/0;Adenoma metanéfrico;
8330/0;Adenoma folicular;
8330/1;Adenoma folicular atípico;
8330/3;Adenocarcinoma folicular, SAI;Carcinoma folicular, SAI (C73.9)
8330/6;Adenocarcinoma folicular, SAI, metástasis;
8331/3;Adenocarcinoma folicular bien diferenciado;Carcinoma folicular, bien diferenciado (C73.9)
8331/6;Adenocarcinoma folicular bien diferenciado, metástasis;
8332/3;Adenocarcinoma folicular, tipo trabecular;Carcinoma folicular, trabecular (C73.9) Adenocarcinoma folicular, moderadamente diferenciado (C73.9) Carcinoma folicular, moderadamente diferenciado (C73.9)
8332/6;Adenocarcinoma folicular, tipo trabecular, metástasis;
8333/0;Adenoma microfolicular, SAI;Adenoma fetal (C73.9)
8333/3;Adenocarcinoma fetal;
8333/6;Adenocarcinoma fetal, metástasis;
8334/0;Adenoma macrofolicular;Adenoma coloide (C73.9)
8335/3;Carcinoma folicular mínimamente invasivo;Carcinoma folicular, encapsulado (C73.9)
8335/6;Carcinoma folicular mínimamente invasivo, metástasis;
8336/0;Adenoma trabecular hialinizante;
8337/3;Carcinoma insular;
8337/6;Carcinoma insular, metástasis;
