code;description;description_additional
C14.8;Lesión solapada del labio, cavidad oral y faringe;Nota: neoplasias del labio, la cavidad bucal y la faringe cuyos sitios de origen no pueden ser clasificados en ninguna de las categorías C00 a C14.2
C15.0;Esófago cervical;
C15.1;Esófago torácico;
C15.2;Esófago abdominal;
C15.3;Tercio superior del esófago;Tercio proximal del esófago
C15.4;Tercio medio del esófago;
C15.5;Tercio inferior del esófago;Tercio distal del esófago
C15.8;Lesión solapada, que comparte los límites de dos o más subcategorías del esófago;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8
C15.9;Esófago, SAI;
C16.0;Cardias, SAI;Cardias gástrico Unión cardioesofágica Unión esofagogástrica Unión gastroesofágica
C16.4;Píloro;Canal pilórico Prepíloro
C16.6;Curvatura mayor del estómago, SAI (no clasificable entre C16.0-C16.4);(no clasificable en C16.0 a C16.4)
C16.8;Lesión solapada, que comparte los límites de dos o más subcategorías del estómago;Pared anterior del estómago, SAI (no clasificable en C16.0 a C16.4) Pared posterior del estómago, SAI (no clasificable en C16.0 a C16.4) (Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.)
C16.1;Fondo del estómago;Fondo gástrico
C16.2;Cuerpo del estómago;Corpus del estómago Cuerpo gástrico
C16.3;Antro gástrico;Antro del estómago Antro pilórico
C16.5;Curvatura menor del estómago, SAI (no clasificable entre C16.1-C16.4);(no clasificable en C16.1 a C16.4)
C16.9;Estómago, SAI;Gástrico, SAI
C17.8;Lesión solapada, que comparte los límites de dos o más subcategorías del intestino delgado;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C17.0;Duodeno;
C17.1;Yeyuno;
C17.2;Ileon (excluye Válvula ileocecal C18.0);(excluye válvula ileocecal C18.0)
C17.3;Divertículo de Meckel (localización del tumor);(sitio de la neoplasia)
C17.9;Intestino delgado, SAI;Intestino delgado, SAI
C18.8;Lesión solapada, que comparte los límites de dos o más subcategorías del colon;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C18.0;Ciego;Unión ileocecal Válvula ileoceca
C18.1;Apéndice;
C18.2;Colon ascendente;Colon derecho
C18.3;Angulo hepático del colon;
C18.4;Colon transverso;
C18.5;Angulo esplénico del colon;
C18.6;Colon descendente;Colon izquierdo
C18.7;Colon sigmoide;Ángulo sigmoide del colon Colon pélvico Sigmoide, SAI
C18.9;Colon, SAI;Intestino grueso (excluye recto, SAI C20.9 y unión rectosigmoide, C19.9) Intestino grueso, SAI
C19.9;Unión rectosigmoidea;Colon rectosigmoideo Rectosigmoide, SAI Colon y recto Unión pelvirrectal
C20.9;Recto, SAI;Ampolla rectal
C21.0;Ano, SAI (excluye Piel del ano y Piel perianal C44.5);(excluye piel del ano y piel perianal, C44.5)
C21.2;Zona de la cloaca;
C21.8;Lesión solapada, que comparte los límites de dos o más subcategorías del recto, ano y canal anal;Anorrecto Unión anorrectal (Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.)
C21.1;Canal anal;Esfinter anal
C22.0;Hígado;Hepatoma, SAI
C22.1;Vías biliares intrahepáticas;Canalículos biliares Colangiolo
C23.9;Vesícula biliar;
C24.1;Ampolla de Vater;Periampollar
C24.8;Lesión solapada, que comparte los límites de dos o más subcategorías de las vías biliares;Nota: neoplasias que envuelven ambos conductos biliares intra y extrahepáticos  (Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.)
C24.0;Vías biliares extrahepáticas;Conducto biliar, SAI Conducto bilioso, SAI Conducto biliar cístico Conducto cístico Conducto biliar común Conducto común Conducto biliar hepático Conducto hepático Conducto colédoco Esfinter de Oddi
C24.9;Vías biliares, SAI;
C25.8;Lesión solapada, que comparte los límites de dos o más subcategorías del páncreas;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C25.0;Cabeza del páncreas;
C25.1;Cuerpo del páncreas;
C25.2;Cola del páncreas;
C25.3;Conducto pancreático;Conducto de Santorini Conducto de Wirsung
C25.4;Islotes de Langerhans;Islas de Langerhans Páncreas endocrino
C25.7;Otras partes especificadas del páncreas;Cuello del páncreas
C25.9;Páncreas, SAI;
C26.0;Tracto intestinal, SAI;Intestino, SAI
C26.8;Lesión solapada del aparato digestivo;Nota: neoplasias de órganos digestivos cuyo sitio de origen no puede ser asignado a ninguna de las categorías C15 a C26.0 (Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.)
C26.9;Tracto gastrointestinal, SAI;Órganos digestivos, SAI Tracto alimentario, SAI
C30.0;Fosa nasal (excluye Nariz, SAI C76.0 );Nariz interna Cartílago nasal Cavidad nasal Cornete nasal Mucosa nasal Orificio nasal Tabique nasal, SAI (excluye borde posterior del tabique nasal, C11.3) Vestíbulo nasal
C30.1;Oido medio;Antro mastoideo Cavidad timpánica Conducto auditivo interno Oído interno Trompa de Eustaquio
C31.8;Lesión solapada, que comparte los límites de dos o más subcategorías de los senos accesorios;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C31.0;Seno maxilar;Antro, SAI Antro maxilar
C31.1;Seno etmoidal;
C31.2;Seno frontal;
C31.3;Seno esfenoidal;
C31.9;Seno accesorio, SAI;Senos nasales accesorios
C32.0;Glotis;Comisura laríngea Cuerda vocal, SAI Cuerda verdadera Cuerda vocal verdadera Laringe intrínseca
C32.1;Región supraglótica;Bandas ventriculares de la laringe Falsa cuerda Falsa cuerda vocal Cara laríngea del pliegue aritenoepiglótico Cara posterior de la epiglotis Epiglotis, SAI (excluye cara anterior de la epiglotis, C10.1) Laringe extrínseca
C32.8;Lesión solapada, que comparte los límites de dos o más subcategorías de la laringe;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C32.2;Región subglótica;
C32.3;Cartílago laríngeo;Cartílago aritenoide Cartílago cricoide Cartílago cuneiforme Cartílago tiroideo
C32.9;Laringe, SAI;
C33.9;Tráquea;
C34.8;Lesión solapada, que comparte los límites de dos o más subcategorías del pulmón;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C34.0;Bronquio principal;Carina Hilio pulmonar
C34.1;Lóbulo superior del pulmón;Língula del pulmón Lóbulo superior, bronquio
C34.2;Lóbulo medio del pulmón;Lóbulo medio, bronquio
C34.3;Lóbulo inferior del pulmón;Lóbulo inferior, bronquio
C34.9;Pulmón, SAI;Broncogénico Bronquio, SAI Bronquiolo Pulmonar, SAI
C37.9;Timo;
C38.8;Lesión solapada, que comparte los límites de dos o más subcategorías del corazón, mediastino y pleura;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C38.0;Corazón;Aurícula cardíaca Endocardio Epicardio Miocardio Pericardio Ventrículo cardíaco
C38.1;Mediastino anterior;
C38.2;Mediastino posterior;
C38.3;Mediastino, SAI;
C38.4;Pleura, SAI;Pleura parietal Pleura visceral
C39.0;Vías respiratorias superiores, SAI;
C39.9;Localizaciones mal definidas del aparato respiratorio;Vías respiratorias, SAI
C39.8;Lesión solapada del aparato respiratorio y los órganos intratorácicos;Nota: neoplasias de órganos respiratorios e intratorácicos cuyo sitio de origen no puede ser asignado a ninguna de las categorías C30 a C39.0.
C40.0;Huesos largos y articulaciones de la extremidad superior, escápula y articulaciones asociadas;Articulación acromioclavicular Articulación del codo Articulación del hombro Cintura escapular Cúbito Escápula Hueso del antebrazo Hueso del brazo Hueso del hombro Húmero Radio
C40.9;Hueso de la extremidad, SAI;Articulación de las extremidades, SAI Cartílago articular de las extremidades, SAI Cartílago de las extremidades, SAI
C40.1;Huesos cortos y articulaciones de la extremidad superior;Articulación de la mano Articulación de la muñeca Falange de la mano Hueso carpiano Hueso de la mano Hueso de la muñeca Hueso del dedo de la mano Hueso del pulgar Hueso metacarpiano
C40.2;Huesos largos y articulaciones de la extremidad inferior;Articulación de la rodilla, SAI Cartílago semilunar Menisco lateral de la rodilla Menisco medio de la rodilla Fémur Hueso de la pierna Peroné Tibia
C40.3;Huesos cortos y articulaciones de la extremidad inferior;Articulación de la garganta del pie Falange del pie Hueso de la rodilla Hueso del dedo del pie Hueso del pie Hueso del talón Hueso del tarso Hueso del tobillo Hueso metatarsiano Rótula
C40.8;Lesión solapada, que comparte los límites de dos o más subcategorías de huesos, articulaciones y cartílagos articulares de las extremidades;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C41.0;Huesos y articulaciones del cráneo y de la cara;(excluye mandíbula, C41.1) Calvario Cráneo, SAI Hueso del cráneo Hueso cigomático Hueso esfenoides Hueso etmoides Hueso facial Hueso frontal Hueso hioides Hueso nasal Hueso occipital Hueso orbital Hueso parietal Hueso temporal Maxilar Hueso maxilar superior
C41.3;Costilla, esternón, clavícula y articulaciones asociadas;Articulación costovertebral Articulación esternocostal Cartílago costal
C41.9;Hueso, SAI;Articulación, SAI Cartílago, SAI Cartílago articular, SAI Hueso del esqueleto
C41.1;Mandíbula;Hueso de la mandíbula inferior Hueso mandibular, SAI Articulación temporomandibular
C41.2;Columna vertebral (excluye Sacro y Cóccix C41.4);(excluye sacro y cóccix, C41.4) Atlas Axis Columna espinal Disco intervertebral Espina Hueso de la espalda Núcleo pulposo Vértebra
C41.4;Huesos de la pelvis, sacro, cóccix y articulaciones asociadas;Acetábulo Articulación de la cadera Cóccix Hueso de la cadera Hueso innominado Hueso pélvico Hueso púbico Isquión Íleon Sacro Sínfisis del pubis
C41.8;Lesión solapada de huesos, articulaciones y cartílagos articulares;Nota: neoplasias de los huesos, articulaciones y del cartílago articular cuyo sitio de origen no puede ser asignado a ninguna de las categorías C40 a C41.
C42.0;Sangre;
C42.1;Médula ósea;
C42.2;Bazo;
C42.3;Sistema reticuloendotelial, SAI;
C42.4;Sistema hematopoyético, SAI;
C44.0;Piel del labio, SAI;Piel del labio inferior Piel del labio superior
C44.4;Piel del cuero cabelludo y del cuello;Piel del cuello Piel del cuero cabelludo Cuero cabelludo, SAI Piel de la cabeza, SAI Piel de la región cervical Piel de la región supraclavicular
C44.7;Piel de la extremidad inferior y de la cadera;Piel de: • cadera • dedo • hueco poplíteo • miembro inferior • muslo • pantorrilla • pie • pierna • rodilla • talón • tobillo Piel plantar Planta del pie Uña del dedo del pie
C44.9;Piel, SAI (excluye Piel de la vulva C51._, Piel del pene C60.9 y Piel del escroto C63.2);(excluye piel de los labios mayores, C51.0, piel de la vulva, C51.9, piel del pene, C60.9, y piel del escroto, C63.2)
C44.1;Piel del párpado;Palpebral Párpado, SAI Canto, SAI Canto externo Canto interno Glándula de Meibomio Párpado inferior Párpado superior
C44.2;Oído externo;Aurícula, SAI Pinna Concha Conducto auditivo externo Conducto auditivo, SAI Conducto auricular, SAI Conducto auricular externo Conducto del oído Meato auditivo externo Glándula del cerumen Hélix Lóbulo de la oreja Oído, SAI Oreja Pabellón de la oreja Piel de la oreja Piel del oído, SAI Trago
C44.3;Piel de otras partes y las no especificadas de la cara;Ala nasal Columela Ceja Frente Frente, SAI Mejilla externa Mentón, SAI Nariz externa Piel de: • cara • frente • mandíbula • mejilla • mentón • nariz • sien Sien, SAI
C44.5;Piel del tronco;Piel de: • abdomen • ano • axila • espalda • flanco • ingle • mama • nalga • ombligo • pared abdominal • pared torácica • pecho • periné • región escapular • región glútea • región infraclavicular • región inguinal • región sacrococcígea • tórax • tronco Ombligo, SAI Piel perianal
C44.6;Piel de la extremidad superior y del hombro;Piel de: • antebrazo • brazo • codo • dedo • espacio cubital anterior • extremidad superior • hombro • mano • muñeca • palma • pulgar Piel palmar Uña del dedo
C44.8;Lesión solapada, que comparte los límites de dos o más subcategorías de la piel;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C47.2;Nervios periféricos y sistema nervioso autónomo de la extremidad inferior y la cadera;Nervios periféricos y sistema nervioso autónomo de (ver lista bajo C47): • cadera • dedo • hueco poplíteo • muslo • pantorrilla • pie • pierna • plantar • rodilla • talón • tobillo Nervio ciático Nervio femoral Nervio obturador
C47.4;Nervios periféricos y sistema nervioso autónomo del abdomen;Nervios periféricos y sistema nervioso autónomo de (ver lista bajo C47): • ombligo • pared abdominal
C47.6;Nervios periféricos y sistema nervioso autónomo del tronco, SAI;Nervios periféricos y sistema nervioso autónomo de (ver lista bajo C47): • espalda • flanco • tronco Nervio lumbar
C47.9;Sistema nervioso autónomo, SAI;Ganglio, SAI Nervio, SAI Nervio espinal, SAI Nervio periférico, SAI Sistema nervioso parasimpático, SAI Sistema nervioso simpático, SAI
C47.0;Nervios periféricos y sistema nervioso autónomo de la cabeza, la cara y el cuello (excluye Nervios periféricos y Sistema nervioso autónomo de la órbita C69.6);(excluye nervios periféricos y sistema nervioso autónomo de la órbita, C69.6) Nervios periféricos y sistema nervioso autónomo de (ver lista bajo C47): • cabeza • cara • cuello • cuero cabelludo • fosa pterigoidea • frente • mejilla • mentón • región cervical • región supraclavicular • sien Plexo cervical
C47.1;Nervios periféricos y sistema nervioso autónomo de la extremidad superior y el hombro;Nervios periféricos y sistema nervioso autónomo de (ver lista bajo C47): • antebrazo • brazo • codo • dedo • espacio cubital anterior • hombro • mano • muñeca • pulgar Nervio braquial Nervio cubital Nervio mediano Nervio radial Plexo braquial
C47.3;Nervios periféricos y sistema nervioso autónomo del tórax;Nervios periféricos y sistema nervioso autónomo de (ver lista bajo C47): • axila • pared del pecho • pared torácica • pecho • región escapular • región infraclavicular Nervio intercostal
C47.5;Nervios periféricos y sistema nervioso autónomo de la pelvis;Nervios periféricos y sistema nervioso autónomo de (ver lista bajo C47): • ingle • nalga • perineo • región glútea • región inguinal • región sacrococcígea Nervio sacro Plexo lumbosacro Plexo sacro
C47.8;Lesión solapada, que comparte los límites de dos o más subcategorías de los nervios periféricos y el sistema nervioso autónomo;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C48.2;Peritoneo, SAI;Cavidad peritoneal
C48.0;Retroperitoneo;Tejido periadrenal Tejido perinéfrico Tejido peripancreático Tejido perirrenal Tejido retrocecal Tejido retroperitoneal
C48.1;Partes especificadas del peritoneo;Epiplón Mesenterio Mesoapéndice Mesocolon Omento Peritoneo pélvico Saco rectouterino Fondo de saco Saco de Douglas (Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.)
C48.8;Lesión solapada, que comparte los límites de dos o más subcategorías del retroperitoneo y peritoneo;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C49.1;Tejido conjuntivo, subcutáneo y otros tejidos blandos de la extremidad superior y hombro;Tejido conjuntivo, subcutáneo y otros tejidos blandos de (ver lista bajo C49): • antebrazo • brazo • codo • dedo • espacio antecubital • hombro • mano • muñeca • pulgar Aponeurosis palmar Arteria cubital Arteria radial Fascia palmar Músculo bíceps braquial Músculo braquial Músculo coracobraquial Músculo deltoides Músculo tríceps braquial
C49.5;Tejido conjuntivo, subcutáneo y otros tejidos blandos de la pelvis;Tejido conjuntivo, subcutáneo y de otros tejidos blandos de (ver lista bajo C49): • ingle • nalga • perineo • región glútea • región inguinal • región sacrococcígea Arteria ilíaca Músculo glúteo mayor Vena ilíaca
C49.6;Tejido conjuntivo, subcutáneo y otros tejidos blandos del tronco, SAI;Tejido conjuntivo, subcutáneo y otros tejidos blandos de (ver lista bajo C49): • espalda • flanco • tronco
